index,playerID,teamID,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
5452,Ji-Man Choi,TBR,113,356,419,83,50,22,0,11,36,52,58,3,123,2,3,0,3,0,0,0.233
5491,Austin Romine,- - -,51,129,136,20,14,3,0,3,10,9,4,0,46,1,0,2,2,0,0,0.155
5497,Marwin Gonzalez,NYY,86,184,207,34,21,7,0,6,20,18,14,0,54,4,2,3,8,3,0,0.185
5517,Kyle Higashioka,NYY,83,229,248,52,35,7,0,10,27,31,12,0,52,1,4,2,5,0,1,0.227
5760,Avisail Garcia,MIA,98,357,380,80,63,9,0,8,31,35,17,0,109,4,2,0,12,4,0,0.224
5827,Wilmer Flores,SFG,151,525,602,120,72,28,1,19,72,71,59,1,103,11,7,0,7,0,0,0.229
5913,Leury Garcia,CHW,97,300,315,63,52,8,0,3,38,20,7,0,65,3,3,2,6,2,0,0.21
5933,Jean Segura,PHI,98,354,387,98,79,9,0,10,45,33,25,1,58,7,1,0,16,13,6,0.277
6012,Didi Gregorius,PHI,63,214,232,45,31,9,4,1,17,19,13,0,36,3,2,0,0,1,0,0.21
6153,Eduardo Escobar,NYM,136,495,542,119,69,26,4,20,58,69,40,3,129,1,6,0,4,0,2,0.24
6184,J.D. Martinez,BOS,139,533,596,146,86,43,1,16,76,62,52,1,145,5,5,0,20,0,0,0.274
6310,Alcides Escobar,WSN,42,124,131,27,21,4,2,0,12,8,5,0,32,2,0,0,1,1,1,0.218
6887,Martin Maldonado,HOU,113,344,379,64,37,12,0,15,40,45,22,0,116,7,2,4,6,0,0,0.186
7007,Yadier Molina,STL,80,262,270,56,43,8,0,5,19,24,5,0,40,2,1,0,10,2,0,0.214
7304,Salvador Perez,KCR,114,445,473,113,66,23,1,23,48,76,18,2,109,7,3,0,9,0,0,0.254
7739,Travis d'Arnaud,ATL,107,396,426,106,62,25,1,18,61,60,19,0,90,11,0,0,12,0,0,0.268
7802,Miguel Rojas,MIA,140,471,507,111,84,19,2,6,34,36,26,1,61,6,3,1,12,9,3,0.236
7859,Charlie Blackmon,COL,135,530,577,140,96,22,6,16,60,78,32,4,109,8,3,4,10,4,1,0.264
8090,Matt Carpenter,NYY,47,128,154,39,15,9,0,15,28,37,19,1,35,5,1,1,2,0,0,0.305
8202,Josh Harrison,CHW,119,386,425,99,71,19,2,7,50,27,21,0,71,14,2,2,9,2,1,0.256
8203,Dee Strange-Gordon,WSN,23,59,59,18,16,1,1,0,6,2,0,0,8,0,0,0,1,3,2,0.305
8259,Kurt Suzuki,LAA,51,139,159,25,17,4,0,4,10,15,15,0,29,2,2,1,3,0,0,0.18
8418,Ehire Adrianza,- - -,37,97,110,17,14,3,0,0,8,7,11,0,25,1,1,0,2,1,0,0.175
8623,Donovan Solano,CIN,80,278,304,79,59,16,0,4,22,24,19,1,61,5,2,0,5,0,0,0.284
8709,Elvis Andrus,- - -,149,535,577,133,84,32,0,17,66,58,39,0,92,3,0,0,11,18,4,0.249
8722,Jason Castro,HOU,34,78,88,9,6,2,0,1,6,3,8,0,40,1,1,0,1,1,0,0.115
9077,Lorenzo Cain,MIL,43,145,156,26,20,5,0,1,17,9,8,0,36,2,1,0,4,2,2,0.179
9218,Paul Goldschmidt,STL,151,561,651,178,102,41,0,35,106,115,79,1,141,5,4,0,7,7,0,0.317
9241,Starling Marte,NYM,118,466,505,136,91,24,5,16,76,63,26,0,97,13,0,0,18,18,9,0.292
9256,A.J. Pollock,CHW,138,489,527,120,79,26,1,14,61,56,32,0,98,2,4,0,13,3,1,0.245
9368,Evan Longoria,SFG,89,266,298,65,38,13,0,14,31,42,27,2,83,2,3,0,6,0,0,0.244
9627,Yan Gomes,CHC,86,277,293,65,45,12,0,8,23,31,8,0,47,3,4,1,15,2,0,0.235
9774,Christian Vazquez,- - -,119,398,426,109,77,23,0,9,41,52,22,0,69,3,3,0,10,1,4,0.274
9777,Nolan Arenado,STL,148,557,620,163,90,42,1,30,73,103,52,3,72,7,4,0,15,5,3,0.293
9847,Andrew McCutchen,MIL,134,515,580,122,80,25,0,17,66,69,57,1,124,4,4,0,10,8,6,0.237
9874,DJ LeMahieu,NYY,125,467,541,122,92,18,0,12,74,46,67,0,71,4,2,1,12,4,3,0.261
9929,Darin Ruf,- - -,119,334,388,68,45,12,0,11,52,45,45,0,105,6,3,0,11,2,0,0.204
9952,Trayce Thompson,- - -,80,219,255,56,28,14,1,13,36,41,32,0,93,2,2,0,2,4,1,0.256
10028,Christian Bethancourt,- - -,101,318,333,80,52,17,0,11,39,34,12,0,80,2,0,1,6,5,1,0.252
10030,Chris Owings,BAL,27,56,68,6,4,2,0,0,6,0,10,0,24,1,0,1,3,1,0,0.107
10047,Wil Myers,SDP,77,261,286,68,46,15,0,7,29,41,21,1,86,1,3,0,7,2,1,0.261
10059,Max Stassi,LAA,102,333,375,60,38,12,1,9,32,30,38,0,112,2,1,1,12,0,0,0.18
10071,Jonathan Villar,- - -,59,202,220,42,31,6,2,3,25,18,15,0,59,0,2,1,4,7,0,0.208
10155,Mike Trout,LAA,119,438,499,124,54,28,2,40,85,80,54,8,139,6,1,0,6,1,0,0.283
10200,Tucker Barnhart,DET,94,281,308,62,51,10,0,1,16,16,25,0,74,1,0,1,7,0,0,0.221
10231,Jose Iglesias,COL,118,439,467,128,95,30,0,3,48,47,17,0,56,8,3,0,12,2,3,0.292
10243,Randal Grichuk,COL,141,506,538,131,88,21,3,19,60,73,24,0,127,6,2,0,12,4,0,0.259
10264,Brandon Belt,SFG,78,254,298,54,36,9,1,8,25,23,37,2,81,6,1,0,9,1,0,0.213
10323,Rafael Ortega,CHC,118,316,371,76,54,14,1,7,35,35,44,2,74,2,7,1,10,12,7,0.241
10324,Marcell Ozuna,ATL,124,470,507,106,64,19,0,23,56,56,31,0,122,2,4,0,12,2,1,0.226
10472,Enrique Hernandez,BOS,93,361,402,80,50,24,0,6,48,45,34,0,71,3,4,0,11,0,2,0.222
10556,Cesar Hernandez,WSN,147,560,617,139,106,28,4,1,64,34,45,0,114,7,2,3,9,10,4,0.248
10681,Gio Urshela,MIN,144,501,551,143,100,27,3,13,61,64,41,2,96,2,7,0,21,1,0,0.285
10762,Corey Dickerson,STL,97,281,297,75,51,17,1,6,28,36,12,1,48,2,2,0,4,0,0,0.267
10815,Jurickson Profar,SDP,152,575,658,140,87,36,2,15,82,58,73,0,103,4,3,3,12,5,1,0.243
10847,Andrelton Simmons,CHC,35,75,85,13,12,1,0,0,8,7,7,0,13,0,0,3,5,4,0,0.173
10950,Adam Duvall,ATL,86,287,315,61,32,16,1,12,39,36,21,0,101,5,2,0,2,0,2,0.213
10953,Phil Gosselin,- - -,34,74,77,11,10,0,1,0,6,2,2,0,24,1,0,0,1,0,0,0.149
11038,Kevin Kiermaier,TBR,63,206,221,47,32,8,0,7,28,22,14,0,61,1,0,0,2,6,1,0.228
11200,Kole Calhoun,TEX,125,388,424,76,49,14,1,12,36,49,27,0,136,6,3,0,6,3,2,0.196
11265,Jonathan Schoop,DET,131,481,510,97,62,23,1,11,48,38,19,1,107,6,4,0,15,5,0,0.202
11281,Whit Merrifield,- - -,139,504,550,126,86,28,1,11,70,58,38,0,85,0,8,0,11,16,5,0.25
11339,Jake Marisnick,PIT,31,77,82,18,10,6,0,2,9,6,4,1,24,0,0,1,2,2,1,0.234
11342,Jesus Aguilar,- - -,129,464,507,109,74,19,0,16,39,51,28,1,119,4,5,0,8,1,0,0.235
11368,Yasmani Grandal,CHW,99,327,376,66,54,7,0,5,15,27,45,1,79,2,2,0,8,1,0,0.202
11442,Gary Sanchez,MIN,128,419,471,86,46,24,0,16,42,61,40,0,136,7,5,0,12,2,0,0.205
11445,Mark Canha,NYM,140,462,542,123,86,24,0,13,71,61,48,1,97,28,4,0,3,3,1,0.266
11476,Odubel Herrera,PHI,62,185,197,44,29,9,1,5,23,21,11,0,42,0,1,0,3,6,0,0.238
11477,Christian Yelich,MIL,154,575,671,145,102,25,4,14,99,57,88,5,162,5,2,1,9,19,3,0.252
11489,Michael A. Taylor,KCR,124,414,456,105,83,10,3,9,49,43,35,0,109,2,3,2,6,4,2,0.254
11493,Manny Machado,SDP,150,578,644,172,102,37,1,32,100,102,63,10,133,1,2,0,12,9,1,0.298
11579,Bryce Harper,PHI,99,370,426,106,59,28,1,18,63,65,46,9,87,3,7,0,13,11,4,0.286
11609,Willson Contreras,CHC,113,416,487,101,54,23,2,22,65,55,45,0,103,24,2,0,14,4,2,0.243
11615,Brandon Drury,- - -,138,518,568,136,75,31,2,28,87,87,38,0,126,8,4,0,8,2,3,0.263
11680,Elias Diaz,COL,105,351,381,80,51,18,2,9,29,51,25,0,82,2,3,0,8,0,1,0.228
11737,Nick Castellanos,PHI,136,524,558,138,98,27,0,13,56,62,29,0,130,3,2,0,15,7,1,0.263
11739,J.T. Realmuto,PHI,139,504,562,139,86,26,5,22,75,84,41,1,119,12,5,0,7,21,1,0.276
11899,Joc Pederson,SFG,134,380,433,104,59,19,3,23,57,70,42,3,100,7,4,0,5,3,2,0.274
11902,Hanser Alberto,LAD,73,156,159,38,25,9,2,2,13,15,3,0,25,0,0,0,7,0,1,0.244
12037,Jon Berti,MIA,102,358,404,86,62,17,3,4,47,28,42,0,89,3,1,0,6,41,5,0.24
12144,Max Kepler,MIN,115,388,446,88,60,18,1,9,54,43,49,1,66,5,4,0,7,3,2,0.227
12147,Nick Ahmed,ARI,17,52,54,12,7,2,0,3,7,7,2,0,15,0,0,0,2,0,1,0.231
12155,Eddie Rosario,ATL,80,250,270,53,35,12,1,5,27,24,17,0,68,0,3,0,3,3,0,0.212
12158,Austin Barnes,LAD,62,179,212,38,24,6,0,8,31,26,27,0,37,3,1,2,5,2,1,0.212
12160,Ben Gamel,PIT,115,371,423,86,55,20,2,9,42,46,48,2,98,3,1,0,5,5,1,0.232
12161,Xander Bogaerts,BOS,150,557,631,171,118,38,0,15,84,73,57,2,118,10,7,0,14,8,2,0.307
12164,Miguel Sano,MIN,20,60,71,5,4,0,0,1,1,3,9,0,25,1,1,0,0,1,0,0.083
12179,Maikel Franco,WSN,103,371,388,85,61,15,0,9,31,39,12,0,75,2,3,0,18,1,0,0.229
12180,Jorge Alfaro,SDP,82,256,274,63,42,14,0,7,25,40,11,0,98,4,3,0,5,1,0,0.246
12198,Jake Hager,ARI,28,50,59,12,10,2,0,0,4,3,8,0,17,0,0,1,0,0,0,0.24
12282,Rougned Odor,BAL,135,426,472,88,53,19,3,13,49,53,32,1,109,10,4,0,9,6,1,0.207
12325,Jace Peterson,MIL,113,288,328,68,44,14,2,8,44,34,33,2,85,2,3,2,8,12,1,0.236
12371,Tommy La Stella,SFG,60,180,195,43,27,14,0,2,17,14,11,0,30,1,3,0,4,0,0,0.239
12510,Curt Casali,- - -,57,148,176,30,21,4,0,5,20,17,24,0,50,2,2,0,1,0,0,0.203
12532,Kolten Wong,MIL,134,430,497,108,65,24,4,15,65,47,46,2,88,14,5,2,5,17,6,0.251
12533,Marcus Semien,TEX,161,657,724,163,101,31,5,26,101,83,53,0,120,4,10,0,7,25,8,0.248
12546,C.J. Cron,COL,150,575,632,148,88,28,3,29,79,102,43,6,164,8,5,0,16,0,0,0.257
12552,Eugenio Suarez,SEA,150,543,629,128,71,24,2,31,76,87,73,0,196,8,5,0,12,0,0,0.236
12564,Trevor Story,BOS,94,357,396,85,47,22,0,16,53,66,32,4,122,3,4,0,9,13,0,0.238
12775,Brad Miller,TEX,81,222,241,47,37,3,0,7,20,32,18,0,70,0,1,0,3,4,2,0.212
12856,George Springer,TOR,133,513,583,137,86,22,4,25,89,76,54,1,100,7,5,0,7,14,2,0.267
12859,James McCann,NYM,61,174,191,34,25,6,0,3,19,18,11,0,46,4,2,0,5,3,0,0.195
12861,Anthony Rendon,LAA,47,166,193,38,23,10,0,5,15,24,23,0,35,2,2,0,7,2,0,0.229
12916,Francisco Lindor,NYM,161,630,706,170,114,25,5,26,98,107,59,2,133,10,7,0,11,16,6,0.27
12927,Brandon Nimmo,NYM,151,580,673,159,106,30,7,16,102,64,71,0,116,16,3,3,9,3,2,0.274
12976,Austin Hedges,CLE,105,294,338,48,37,4,0,7,26,30,25,0,78,6,3,10,12,2,0,0.163
12977,Michael Perez,- - -,45,121,132,18,12,0,0,6,10,14,10,0,32,0,0,1,2,1,0,0.149
12979,Javier Baez,DET,144,555,590,132,84,27,4,17,64,67,26,1,147,6,3,0,13,9,2,0.238
12984,Jackie Bradley Jr.,- - -,132,344,370,70,42,23,1,4,30,38,24,0,77,0,0,2,5,2,3,0.203
13066,Teoscar Hernandez,TOR,131,499,535,133,72,35,1,25,71,77,34,0,152,2,0,0,18,6,3,0.267
13145,Josh Bell,- - -,156,552,647,147,98,29,3,17,78,71,81,4,102,5,6,0,22,0,1,0.266
13152,Jorge Polanco,MIN,104,375,445,88,56,16,0,16,54,56,64,1,95,2,4,0,4,3,3,0.235
13185,Orlando Arcia,ATL,68,209,234,51,33,9,0,9,25,30,21,0,51,2,2,0,7,0,0,0.244
13265,Mike Zunino,TBR,36,115,123,17,9,3,0,5,7,16,6,0,46,1,1,0,2,0,0,0.148
13301,Max Muncy,LAD,136,464,565,91,47,22,1,21,69,69,90,1,141,5,6,0,2,2,0,0.196
13324,Ildemaro Vargas,- - -,63,209,222,55,37,13,1,4,19,23,8,0,23,3,1,1,6,3,1,0.263
13329,Jake Lamb,- - -,41,97,111,21,11,6,1,3,13,6,11,0,38,3,0,0,4,0,1,0.216
13338,Omar Narvaez,MIL,84,262,296,54,37,12,1,4,21,23,29,1,57,3,1,1,4,0,0,0.206
13355,Luke Maile,CLE,76,181,206,40,27,10,0,3,19,17,19,0,54,3,3,0,6,0,0,0.221
13359,Tyler Naquin,- - -,105,310,334,71,37,19,4,11,47,46,19,2,93,4,0,1,3,4,2,0.229
13367,Stephen Piscotty,OAK,42,126,139,24,15,4,0,5,12,14,9,1,48,2,2,0,2,2,0,0.19
13419,Christian Walker,ARI,160,583,667,141,78,25,2,36,84,94,69,2,131,8,7,0,15,2,2,0.242
13510,Jose Ramirez,CLE,157,601,685,168,90,44,5,29,91,126,69,20,82,6,9,0,5,20,7,0.28
13546,Roman Quinn,- - -,44,79,87,17,12,3,2,0,15,7,7,0,36,1,0,0,0,4,3,0.215
13590,Jesse Winker,SEA,136,456,547,100,71,15,0,14,51,53,84,1,103,4,3,0,8,0,0,0.219
13602,Patrick Wisdom,CHC,134,469,534,97,44,28,0,25,67,66,53,1,183,9,2,1,8,8,4,0.207
13611,Mookie Betts,LAD,142,572,639,154,76,40,3,35,117,82,55,0,104,8,4,0,8,12,2,0.269
13613,Ketel Marte,ARI,137,492,558,118,62,42,2,12,68,52,55,3,101,6,5,0,12,5,1,0.24
13620,Carson Kelly,ARI,104,317,354,67,42,18,0,7,40,35,29,0,71,4,4,0,10,2,0,0.211
13621,Jeimer Candelario,DET,124,429,467,93,59,19,2,13,49,50,28,1,109,6,4,0,9,0,1,0.217
13624,Corey Seager,TEX,151,593,663,145,87,24,1,33,91,83,58,7,103,7,5,0,14,3,0,0.245
13675,Tyrone Taylor,MIL,120,373,405,87,46,21,3,17,49,51,22,0,102,7,3,0,11,3,2,0.233
13723,Jacob Stallings,MIA,114,346,384,77,61,12,0,4,25,34,29,0,83,6,2,1,15,0,1,0.223
13755,Tomas Nido,NYM,98,284,313,68,50,15,0,3,31,28,14,0,76,1,2,12,14,0,0,0.239
13757,Chris Taylor,LAD,118,402,454,89,51,25,3,10,45,43,44,2,160,5,3,0,4,10,1,0.221
13768,Travis Jankowski,- - -,44,55,64,9,9,0,0,0,11,2,8,0,10,1,0,0,0,3,0,0.164
13769,Adalberto Mondesi,KCR,15,50,54,7,7,0,0,0,3,3,4,0,20,0,0,0,2,5,0,0.14
13770,Rob Refsnyder,BOS,57,153,177,47,30,11,0,6,25,21,15,0,46,6,3,0,1,1,1,0.307
13788,Matt Reynolds,- - -,93,244,272,60,46,10,1,3,31,23,26,0,78,1,1,0,7,5,0,0.246
13807,Kevin Plawecki,- - -,64,168,186,37,28,8,0,1,15,13,14,0,32,2,1,1,6,0,0,0.22
13836,Matt Duffy,LAA,77,228,247,57,47,8,0,2,14,16,17,0,50,2,0,0,6,0,0,0.25
13853,Joey Wendle,MIA,101,347,371,90,62,24,1,3,27,32,15,0,50,5,3,1,7,12,3,0.259
13854,Anthony Bemboom,BAL,22,52,59,6,3,2,0,1,4,1,6,0,17,0,0,1,1,0,0,0.115
13897,Tyler Heineman,- - -,62,157,174,34,26,8,0,0,16,9,8,0,17,5,0,4,3,1,0,0.217
14109,Albert Almora Jr.,CIN,64,215,235,48,32,10,1,5,26,29,17,0,46,1,1,1,9,3,2,0.223
14111,Eric Haase,DET,110,323,351,82,50,17,1,14,41,44,24,1,97,1,3,0,9,0,0,0.254
14128,Joey Gallo,- - -,126,350,410,56,27,8,2,19,48,47,56,0,163,3,1,0,0,3,0,0.16
14130,Daniel Vogelbach,- - -,130,386,461,92,54,19,1,18,47,59,73,2,114,1,1,0,11,0,0,0.238
14161,Byron Buxton,MIN,92,340,382,76,32,13,3,28,61,51,34,0,116,7,1,0,0,6,0,0.224
14162,Carlos Correa,MIN,136,522,590,152,105,24,1,22,70,64,61,2,121,3,4,0,18,0,1,0.291
14196,Andrew Velazquez,LAA,125,322,349,63,46,8,0,9,37,28,15,0,119,3,3,6,3,17,1,0.196
14221,Jorge Soler,MIA,72,270,306,56,30,13,0,13,32,34,31,1,90,3,1,0,9,0,2,0.207
14274,Mitch Haniger,SEA,57,224,247,55,36,8,0,11,31,34,20,1,65,1,2,0,7,0,0,0.246
14344,Matt Olson,ATL,162,616,699,148,70,44,0,34,86,103,75,6,170,4,4,0,13,0,0,0.24
14350,Raimel Tapia,TOR,128,411,433,109,79,20,3,7,47,52,16,0,81,0,1,3,12,8,2,0.265
14366,Joey Meneses,WSN,56,222,240,72,45,14,0,13,33,34,15,2,52,1,2,0,13,1,0,0.324
14387,Harold Ramirez,TBR,120,403,435,121,91,24,0,6,46,58,19,1,72,9,4,0,5,3,5,0.3
14477,Jake Cave,MIN,54,164,177,35,20,7,3,5,17,20,11,0,49,0,2,0,2,2,0,0.213
14551,Anthony Santander,BAL,152,574,647,138,81,24,0,33,78,89,55,1,122,13,5,0,14,0,2,0.24
14553,Nomar Mazara,SDP,55,159,171,42,32,8,0,2,16,18,10,0,40,2,0,0,3,0,0,0.264
14566,Franmil Reyes,- - -,118,438,473,97,64,17,2,14,43,47,30,0,157,2,3,0,12,2,1,0.221
14567,Franchy Cordero,BOS,84,242,275,53,27,17,1,8,36,29,28,1,92,1,2,2,1,4,1,0.219
14593,David Bote,CHC,41,116,127,30,18,8,0,4,15,12,6,0,45,4,1,0,3,1,0,0.259
14691,Harold Castro,DET,120,420,443,114,84,21,2,7,37,47,17,1,79,1,2,3,5,0,1,0.271
14712,Manuel Margot,TBR,89,336,363,92,68,18,2,4,36,47,24,1,68,2,1,0,7,7,3,0.274
14735,Brett Phillips,- - -,83,201,225,29,18,6,0,5,22,15,16,0,94,3,1,4,0,7,0,0.144
14773,Yu Chang,- - -,69,168,190,35,25,6,0,4,19,15,16,0,59,4,2,0,5,0,1,0.208
14811,Luke Voit,- - -,135,500,568,113,69,22,0,22,55,69,55,1,179,7,6,0,9,1,1,0.226
14813,Kyle Farmer,CIN,145,526,583,134,94,25,1,14,58,78,33,0,99,16,6,2,20,4,3,0.255
14854,Mike Yastrzemski,SFG,148,485,558,104,54,31,2,17,73,57,61,0,141,5,6,1,3,5,1,0.214
14894,Tony Kemp,OAK,147,497,558,117,84,24,2,7,61,46,45,0,69,8,3,5,5,11,1,0.235
14950,Johan Camargo,PHI,52,152,166,36,30,3,0,3,8,15,13,0,37,0,0,1,1,0,0,0.237
14968,Victor Caratini,MIL,96,272,314,54,33,12,0,9,26,34,31,1,67,9,1,1,11,0,0,0.199
15082,Adam Engel,CHW,119,245,260,55,39,13,1,2,32,17,11,1,76,4,0,0,2,12,4,0.224
15104,Jonathan Davis,MIL,37,76,91,17,16,1,0,0,9,4,14,0,26,0,0,1,1,7,1,0.224
15112,Ryan McMahon,COL,153,529,597,130,84,23,3,20,67,67,60,0,158,5,3,0,7,7,3,0.246
15117,Hunter Dozier,KCR,129,462,500,109,67,26,4,12,51,41,34,0,125,3,1,0,14,4,3,0.236
15149,Trey Mancini,- - -,143,519,587,124,82,23,1,18,56,63,53,2,135,10,5,0,12,0,0,0.239
15161,Mitch Garver,TEX,54,188,215,39,22,7,0,10,23,24,23,0,53,2,2,0,3,1,1,0.207
15170,Josh VanMeter,PIT,67,171,192,32,22,5,2,3,15,14,19,0,45,0,2,0,3,4,0,0.187
15172,Tim Anderson,CHW,79,332,351,100,81,13,0,6,50,25,14,1,55,5,0,0,10,13,0,0.301
15191,Chad Pinder,OAK,111,361,379,85,55,18,0,12,38,42,14,0,118,0,2,1,10,2,0,0.235
15223,Adam Frazier,SEA,156,541,602,129,100,22,4,3,61,42,46,1,73,5,6,4,15,11,6,0.238
15271,Austin Wynns,SFG,66,162,177,42,32,7,0,3,14,21,10,0,38,3,1,1,9,0,0,0.259
15279,Garrett Cooper,MIA,119,414,469,108,64,33,2,9,37,50,40,0,119,10,5,0,6,0,0,0.261
15351,Frank Schwindel,CHC,75,271,292,62,43,11,0,8,23,36,19,1,58,0,2,0,12,0,0,0.229
15362,Jeff McNeil,NYM,148,533,589,174,125,39,1,9,73,62,40,1,61,11,5,0,6,4,0,0.326
15402,Jack Mayfield,LAA,23,70,74,13,10,1,1,1,8,6,3,0,17,1,0,0,1,1,0,0.186
15429,Kris Bryant,COL,42,160,181,49,32,12,0,5,28,14,17,0,27,2,2,0,7,0,0,0.306
15464,Hunter Renfroe,MIL,125,474,522,121,68,23,1,29,62,72,39,1,121,4,3,2,11,1,1,0.255
15482,Aristides Aquino,CIN,80,259,276,51,28,13,0,10,24,30,17,0,101,0,0,0,1,2,3,0.197
15487,Victor Reyes,DET,92,315,336,80,55,19,3,3,27,34,13,0,77,4,4,0,7,2,2,0.254
15491,J.P. Crawford,SEA,145,518,603,126,93,24,3,6,57,42,68,0,80,10,5,2,11,3,2,0.243
15518,Amed Rosario,CLE,153,637,670,180,134,26,9,11,85,71,25,0,111,4,4,0,19,18,4,0.283
15585,Mike Ford,- - -,50,131,149,27,19,5,0,3,9,10,17,0,40,1,0,0,1,0,0,0.206
15608,Willians Astudillo,MIA,21,54,55,13,12,0,0,1,5,4,1,0,3,0,0,0,2,1,0,0.241
15640,Aaron Judge,NYY,157,570,696,177,87,28,0,62,133,131,111,19,175,6,5,0,14,16,3,0.311
15653,Dominic Smith,NYM,58,134,152,26,15,10,1,0,11,17,12,0,37,4,2,0,0,0,0,0.194
15654,Billy McKinney,OAK,23,52,57,5,3,1,0,1,3,4,4,1,16,0,1,0,0,0,0,0.096
15672,Austin Meadows,DET,36,128,147,32,24,6,2,0,9,11,16,0,17,3,0,0,2,0,1,0.25
15674,Reese McGuire,- - -,89,249,274,67,49,14,1,3,25,22,12,0,56,3,3,6,6,1,0,0.269
15676,Jose Abreu,CHW,157,601,679,183,128,40,0,15,85,75,62,2,110,12,4,0,19,0,0,0.304
15679,Rowdy Tellez,MIL,153,529,599,116,58,23,0,35,67,89,62,9,121,5,3,0,20,2,1,0.219
15711,Tyler O'Neill,STL,96,334,383,76,50,11,1,14,56,58,38,0,103,4,7,0,9,14,4,0.228
15730,Tyler Wade,LAA,67,147,163,32,26,5,0,1,22,8,10,0,33,1,0,5,3,8,5,0.218
15794,Yonathan Daza,COL,113,372,408,112,87,21,2,2,56,34,26,0,58,4,5,1,12,0,3,0.301
15878,Miguel Andujar,- - -,36,132,140,31,24,5,1,1,13,17,5,0,27,0,3,0,1,4,1,0.235
15905,Luis Torrens,SEA,57,151,166,34,29,2,0,3,13,15,12,0,50,1,2,0,5,0,0,0.225
15937,Aledmys Diaz,HOU,92,305,327,74,49,13,0,12,35,38,18,0,53,2,2,0,7,1,1,0.243
15941,Austin Nola,SDP,110,347,397,87,68,15,0,4,40,40,34,1,60,6,9,1,5,2,1,0.251
15958,Travis Demeritte,ATL,26,89,96,19,14,2,0,3,9,6,6,0,32,0,1,0,2,0,0,0.213
15986,Willy Adames,MIL,139,563,617,134,72,31,0,31,83,98,49,3,166,1,4,0,11,8,3,0.238
15998,Cody Bellinger,LAD,144,504,550,106,57,27,3,19,70,68,38,0,150,2,6,0,7,14,3,0.21
16153,Austin Slater,SFG,125,277,325,73,49,15,2,7,49,34,40,0,89,6,2,0,9,12,1,0.264
16219,J.D. Davis,- - -,115,318,365,79,50,16,1,12,46,35,39,1,122,6,2,0,13,1,1,0.248
16221,Bradley Zimmer,- - -,109,105,117,13,6,5,0,2,18,5,5,0,45,6,0,1,0,3,2,0.124
16252,Trea Turner,LAD,160,652,708,194,130,39,4,21,101,100,45,1,131,3,6,0,9,27,3,0.298
16285,Michael Hermosillo,CHC,31,61,73,7,5,2,0,0,7,4,7,0,27,4,0,1,0,1,0,0.115
16313,Yairo Munoz,PHI,29,57,60,12,7,2,0,3,7,7,3,0,10,0,0,0,0,1,0,0.211
16337,Nick Gordon,MIN,138,405,443,110,69,28,4,9,45,50,19,1,105,10,6,3,8,6,4,0.272
16375,Oscar Mercado,- - -,55,121,128,25,14,6,1,4,17,16,5,0,29,1,1,0,4,2,2,0.207
16403,Francisco Mejia,TBR,93,289,299,70,42,22,0,6,32,31,7,0,65,2,1,0,6,0,0,0.242
16417,Sergio Alcantara,- - -,93,205,224,45,30,8,1,6,26,29,12,0,57,1,4,2,6,1,2,0.22
16424,Jordan Luplow,ARI,83,205,234,36,20,5,0,11,26,28,25,1,60,3,1,0,5,5,1,0.176
16426,Thairo Estrada,SFG,140,488,541,127,88,23,2,14,71,62,33,0,89,14,5,1,10,21,6,0.26
16434,Christian Arroyo,BOS,87,280,300,80,57,16,1,6,32,36,13,2,49,3,2,2,7,5,1,0.286
16442,Ryan O'Hearn,KCR,67,134,145,32,24,6,1,1,14,16,8,0,35,2,1,0,2,0,0,0.239
16451,Luis Guillorme,NYM,102,297,335,81,66,12,1,2,33,17,34,1,46,2,0,2,15,1,0,0.273
16472,Rhys Hoskins,PHI,156,589,672,145,80,33,2,30,81,79,72,0,169,6,4,0,12,2,1,0.246
16478,Kyle Schwarber,PHI,155,577,669,126,56,21,3,46,100,94,86,3,200,4,2,0,10,10,1,0.218
16505,Matt Chapman,TOR,155,538,621,123,68,27,1,27,83,76,68,1,170,10,5,0,7,2,2,0.229
16512,Isiah Kiner-Falefa,NYY,142,483,531,126,102,20,0,4,66,48,35,2,72,5,5,3,13,22,4,0.261
16530,Mauricio Dubon,- - -,104,243,265,52,38,9,0,5,31,24,13,0,30,1,5,3,7,2,3,0.214
16535,Danny Jansen,TOR,72,215,248,56,31,10,0,15,34,44,25,1,44,3,5,0,1,1,0,0.26
16556,Ozzie Albies,ATL,64,247,269,61,37,16,0,8,36,35,16,0,47,2,4,0,0,3,5,0.247
16572,Connor Joe,COL,111,404,467,96,65,20,4,7,56,28,55,0,97,7,1,0,8,6,2,0.238
16578,Yandy Diaz,TBR,137,473,558,140,98,33,0,9,71,57,78,2,60,6,1,0,10,3,3,0.296
16622,Luis Urias,MIL,119,406,472,97,63,17,1,16,54,47,50,0,99,11,5,0,9,1,2,0.239
16623,Greg Allen,PIT,46,118,134,22,16,4,0,2,17,8,10,0,42,2,1,3,2,8,2,0.186
16686,Jason Vosler,SFG,36,98,111,26,15,6,1,4,14,12,10,1,29,2,1,0,3,1,1,0.265
16725,Jose Trevino,NYY,115,335,353,83,59,12,1,11,39,43,15,0,62,2,1,0,5,2,1,0.248
16909,Colin Moran,CIN,42,109,128,23,15,3,0,5,11,23,16,0,30,0,3,0,4,0,0,0.211
