index,playerID,teamID,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
19896,Connor Wong,BOS,27,48,56,9,5,3,0,1,8,7,5,0,16,1,1,1,0,0,0,0.188
19901,Gavin Sheets,CHW,124,377,410,91,57,19,0,15,34,53,27,0,86,3,3,0,9,0,0,0.241
19906,Diego Castillo,PIT,96,262,283,54,30,13,0,11,28,29,14,1,75,3,4,0,7,1,1,0.206
19913,Jesus Sanchez,MIA,98,313,343,67,37,14,3,13,38,36,26,0,92,3,1,0,7,1,0,0.214
19918,Daulton Varsho,ARI,151,531,592,125,72,23,3,27,79,74,46,0,145,7,5,2,8,16,6,0.235
19928,Ryan McKenna,BAL,105,156,172,37,25,10,0,2,23,11,11,1,55,2,1,2,3,2,1,0.237
19931,Luke Williams,- - -,79,127,136,30,23,5,1,1,21,6,9,1,44,0,0,0,1,11,4,0.236
19948,Cristian Pache,OAK,91,241,260,40,30,5,2,3,18,18,15,0,70,1,0,3,5,2,2,0.166
19950,Andres Gimenez,CLE,146,491,557,146,100,26,3,17,66,69,34,4,112,25,3,4,9,20,3,0.297
19953,Josh Lowe,TBR,52,181,198,40,24,12,2,2,24,13,15,1,66,1,0,1,1,3,0,0.221
19955,Gavin Lux,LAD,129,421,471,116,83,20,7,6,66,42,47,0,95,0,3,0,3,7,2,0.276
19956,Mickey Moniak,- - -,37,106,112,18,11,3,1,3,13,8,4,0,44,1,0,1,0,1,0,0.17
19960,Taylor Trammell,SEA,43,102,117,20,7,9,0,4,15,10,13,0,33,0,1,1,2,2,1,0.196
19966,Bobby Dalbec,BOS,117,317,353,68,45,9,2,12,40,39,29,0,118,3,4,0,5,3,0,0.215
19977,Tres Barrera,WSN,19,50,53,9,8,1,0,0,2,4,2,0,16,0,0,1,1,0,0,0.18
19983,Conner Capel,- - -,22,52,59,16,12,0,1,3,7,11,5,0,10,0,2,0,2,1,1,0.308
19997,Santiago Espinal,TOR,135,449,491,120,88,25,0,7,51,51,36,1,68,2,3,1,12,6,6,0.267
20003,Keston Hiura,MIL,80,234,266,53,30,8,1,14,34,32,23,0,111,8,1,0,3,5,2,0.226
20036,Isaac Paredes,TBR,111,331,381,68,32,16,0,20,48,45,44,0,67,4,2,0,12,0,1,0.205
20043,Luis Robert,CHW,98,380,401,108,78,18,0,12,54,56,17,1,77,3,1,0,6,11,3,0.284
20054,Bligh Madris,PIT,39,113,123,20,12,7,0,1,10,7,10,0,31,0,0,0,0,2,1,0.177
20056,Alan Trejo,COL,35,118,125,32,22,6,0,4,15,17,5,0,31,2,0,0,3,1,2,0.271
20122,Mark Contreras,MIN,28,58,61,7,3,1,0,3,9,6,1,0,21,1,1,0,2,1,0,0.121
20123,Juan Soto,- - -,153,524,664,127,73,25,2,27,93,62,135,6,96,4,0,0,12,6,2,0.242
20126,Dylan Carlson,STL,128,432,488,102,60,30,4,8,56,42,45,1,94,7,4,0,6,5,2,0.236
20165,J.J. Matijevic,HOU,32,67,71,14,10,2,0,2,7,5,2,0,25,2,0,0,1,1,0,0.209
20178,Miguel Vargas,LAD,18,47,50,8,6,1,0,1,4,8,2,0,13,0,1,0,0,1,0,0.17
20202,Brandon Marsh,- - -,134,424,461,104,71,18,4,11,49,52,28,1,158,3,3,3,4,10,4,0.245
20220,Jo Adell,LAA,88,268,285,60,38,12,2,8,22,27,11,0,107,4,1,0,6,4,2,0.224
20233,Gilberto Celestino,MIN,122,311,347,74,59,12,1,2,30,24,32,0,77,2,0,2,13,4,1,0.238
20242,Kevin Smith,OAK,47,139,151,25,13,9,1,2,9,13,7,0,42,0,2,3,5,4,0,0.18
20308,Jake Meyers,HOU,52,150,160,34,25,6,2,1,13,15,7,0,54,2,1,0,1,2,1,0.227
20321,Stuart Fairchild,- - -,46,97,110,24,14,4,1,5,14,6,8,0,34,5,0,0,1,0,2,0.247
20325,Alex Kirilloff,MIN,45,144,156,36,26,7,0,3,14,21,5,0,36,4,2,0,5,0,0,0.25
20332,Luis Gonzalez,SFG,98,311,350,79,56,17,2,4,31,36,30,1,75,4,5,0,5,10,2,0.254
20352,Ernie Clement,- - -,70,163,179,30,26,4,0,0,19,6,11,0,26,2,1,2,3,0,1,0.184
20391,Luis Garcia,WSN,93,360,377,99,67,23,2,7,29,45,11,1,84,1,4,1,6,3,4,0.275
20454,Jazz Chisholm Jr.,MIA,60,213,241,54,26,10,4,14,39,45,21,0,66,3,3,0,0,12,5,0.254
20493,Seth Beer,ARI,38,111,126,21,17,3,0,1,4,9,11,1,31,3,1,0,3,0,0,0.189
20503,William Contreras,ATL,97,334,376,93,58,14,1,20,51,45,39,1,104,1,2,0,5,2,0,0.278
20505,Drew Waters,KCR,32,96,109,23,11,6,1,5,14,18,12,0,40,0,0,0,1,0,0,0.24
20521,Nick Madrigal,CHC,59,209,228,52,45,7,0,0,19,7,14,0,27,3,0,2,6,3,1,0.249
20529,Nolan Jones,CLE,28,86,94,21,14,5,0,2,10,13,8,1,31,0,0,0,2,0,0,0.244
20536,Vidal Brujan,TBR,52,147,162,24,16,5,0,3,13,16,12,0,37,1,2,0,2,5,5,0.163
20538,Jose Miranda,MIN,125,444,483,119,79,25,0,15,45,66,28,0,91,10,1,0,19,1,1,0.268
20543,Elehuris Montero,COL,53,176,185,41,19,15,1,6,21,20,8,0,60,1,0,0,4,0,0,0.233
20572,Kody Clemens,DET,57,117,127,17,8,4,0,5,13,17,8,0,33,0,2,0,1,1,0,0.145
20926,Dermis Garcia,OAK,39,116,125,24,13,6,0,5,13,20,8,0,55,1,0,0,1,0,0,0.207
20970,Oscar Gonzalez,CLE,91,362,382,107,69,27,0,11,39,43,15,2,75,3,2,0,6,1,2,0.296
21127,Alejo Lopez,CIN,61,145,156,38,31,5,1,1,15,10,9,1,21,2,0,0,1,3,1,0.262
21270,Sean Bouchard,COL,27,74,97,22,13,6,0,3,9,11,21,0,25,1,1,0,1,0,0,0.297
21386,Michael Papierski,- - -,39,91,103,13,11,1,0,1,7,4,10,0,26,0,0,2,4,0,0,0.143
21454,Lars Nootbaar,STL,108,290,347,66,33,16,3,14,53,40,51,1,71,1,5,0,3,4,1,0.228
21479,Nico Hoerner,CHC,135,481,517,135,98,22,5,10,60,55,28,4,57,6,2,0,11,20,2,0.281
21501,Trevor Larnach,MIN,51,160,180,37,19,13,0,5,22,18,18,1,57,0,2,0,1,0,0,0.231
21523,Jonathan India,CIN,103,386,431,96,68,16,2,10,48,41,31,1,94,14,0,0,5,3,4,0.249
21524,Joey Bart,SFG,97,261,291,56,39,6,0,11,34,25,26,0,112,4,0,0,5,2,1,0.215
21534,Cal Raleigh,SEA,119,370,415,78,30,20,1,27,46,63,38,0,122,2,5,0,5,1,0,0.211
21538,Nick Fortes,MIA,72,217,240,50,34,6,1,9,41,24,18,0,45,5,0,0,5,5,3,0.23
21558,Matt Vierling,PHI,117,325,357,80,60,12,2,6,41,32,23,0,70,3,6,0,7,7,4,0.246
21560,Alfonso Rivas,CHC,101,251,287,59,49,5,2,3,27,25,29,1,87,4,2,1,1,6,1,0.235
21562,Romy Gonzalez,CHW,32,105,109,25,18,4,1,2,15,11,2,0,39,1,1,0,3,0,1,0.238
21614,Kyle Isbel,KCR,106,256,278,54,35,10,4,5,32,28,16,0,75,3,2,1,5,9,6,0.211
21618,Alec Bohm,PHI,152,586,631,164,124,24,3,13,79,72,31,1,110,4,10,0,18,2,3,0.28
21622,Jake McCarthy,ARI,99,321,354,91,64,16,3,8,53,43,23,0,76,6,1,3,3,23,3,0.283
21635,Nick Maton,PHI,35,72,85,18,10,2,1,5,13,17,10,0,29,1,2,0,0,0,0,0.25
21636,Jeremy Pena,HOU,136,521,558,132,88,20,2,22,72,63,22,0,135,6,5,1,5,11,2,0.253
21707,Oswaldo Cabrera,NYY,44,154,171,38,23,8,1,6,21,19,15,0,44,0,1,1,1,3,2,0.247
21711,Oneil Cruz,PIT,87,331,361,77,43,13,4,17,45,54,28,1,126,1,1,0,3,11,4,0.233
21837,Jonathan Aranda,TBR,32,78,87,15,9,4,0,2,10,6,8,1,23,1,0,0,1,0,0,0.192
21853,Will Benson,CLE,28,55,61,10,9,1,0,0,8,3,3,0,19,2,0,1,1,0,0,0.182
21871,Jerar Encarnacion,MIA,23,77,81,14,8,3,0,3,7,14,3,0,32,0,1,0,3,2,0,0.182
21897,Christopher Morel,CHC,113,379,425,89,50,19,4,16,55,47,38,0,137,3,2,3,6,10,7,0.235
21987,Rodolfo Castro,PIT,71,253,278,59,36,8,4,11,25,27,22,0,74,2,1,0,6,5,3,0.233
22117,Nick Pratto,KCR,49,158,182,29,12,9,1,7,18,20,19,0,66,1,3,1,6,0,0,0.184
22168,Akil Baddoo,DET,73,201,225,41,34,3,2,2,30,9,24,0,64,0,0,0,2,9,6,0.204
22169,Calvin Mitchell,PIT,69,212,232,48,32,11,0,5,21,17,18,0,52,0,1,1,3,3,1,0.226
22197,MJ Melendez,KCR,129,460,534,100,58,21,3,18,57,62,66,1,131,1,7,0,2,2,3,0.217
22209,Sam Huff,TEX,44,121,132,29,21,4,0,4,9,10,11,1,42,0,0,0,1,1,0,0.24
22217,Luis Campusano,SDP,16,48,50,12,10,1,0,1,4,5,1,0,11,0,1,0,2,0,0,0.25
22244,Jack Suwinski,PIT,106,326,372,66,36,11,0,19,45,38,41,1,114,4,1,0,5,4,2,0.202
22261,Bubba Thompson,TEX,55,170,181,45,39,5,0,1,18,9,7,0,56,2,0,2,2,18,3,0.265
22263,Nolan Gorman,STL,89,283,313,64,37,13,0,14,44,35,28,0,103,2,0,0,2,1,0,0.226
22275,Jake Burger,CHW,51,168,183,42,24,9,1,8,20,26,10,1,56,3,1,1,7,0,0,0.25
22277,Nick Allen,OAK,100,299,326,62,45,13,0,4,31,19,19,0,64,1,1,6,5,3,2,0.207
22411,Cal Stevenson,OAK,23,60,71,10,7,3,0,0,5,1,8,0,23,0,1,2,1,1,1,0.167
22458,Taylor Walls,TBR,142,407,466,70,42,18,2,8,53,33,52,0,120,2,2,2,6,10,3,0.172
22471,Livan Soto,LAA,18,55,59,22,15,5,1,1,9,9,2,0,13,0,1,1,1,1,1,0.4
22505,Buddy Kennedy,ARI,30,83,94,18,13,2,2,1,10,12,8,0,23,1,2,0,1,0,0,0.217
22514,Triston Casas,BOS,27,76,95,15,9,1,0,5,11,12,19,0,23,0,0,0,4,1,0,0.197
22532,Tyler Freeman,CLE,24,77,86,19,16,3,0,0,9,3,4,0,11,4,1,0,2,1,0,0.247
22558,Jarred Kelenic,SEA,54,163,181,23,10,5,1,7,20,17,16,0,61,1,1,0,3,5,2,0.141
22563,Gabriel Arias,CLE,16,47,57,9,6,1,1,1,9,5,8,0,16,1,0,1,1,1,0,0.191
22581,Alejandro Kirk,TOR,139,470,541,134,101,19,0,14,59,63,63,2,58,4,4,0,11,0,0,0.285
22650,Jordan Diaz,OAK,15,49,51,13,10,3,0,0,3,1,2,0,7,0,0,0,1,0,0,0.265
22664,Gabriel Moreno,TOR,25,69,73,22,20,1,0,1,10,7,4,0,8,0,0,0,2,0,0,0.319
22799,Geraldo Perdomo,ARI,148,431,500,84,67,10,2,5,58,40,50,0,103,5,2,12,3,9,2,0.195
22823,Oswald Peraza,NYY,18,49,57,15,11,3,0,1,8,2,6,0,9,2,0,0,3,2,0,0.306
22871,Tucupita Marcano,PIT,49,160,177,33,23,6,2,2,18,13,10,0,44,1,1,5,1,2,1,0.206
23359,Nelson Velazquez,CHC,77,185,206,38,22,7,3,6,20,26,19,0,65,2,0,0,5,5,2,0.205
23378,Jose Barrero,CIN,48,165,174,25,20,3,0,2,13,10,9,0,76,0,0,0,4,4,1,0.152
23667,Wander Franco,TBR,83,314,344,87,58,20,3,6,46,33,26,1,33,0,4,0,5,8,0,0.277
23697,Julio Rodriguez,SEA,132,511,560,145,89,25,3,28,84,75,40,4,145,8,1,0,7,25,7,0.284
23733,Ezequiel Duran,TEX,58,208,220,49,33,10,1,5,25,25,12,0,54,0,0,0,3,4,1,0.236
23792,Alek Thomas,ARI,113,381,411,88,62,17,1,8,45,39,22,0,74,3,5,0,6,4,3,0.231
23794,Jordan Groshans,MIA,17,61,65,16,15,0,0,1,9,2,4,0,13,0,0,0,2,0,0,0.262
24400,Terrin Vavra,BAL,40,89,103,23,19,2,1,1,14,12,12,0,19,0,2,0,2,0,1,0.258
24589,Richie Palacios,CLE,54,112,123,26,20,6,0,0,7,10,9,1,20,1,1,0,2,2,0,0.232
24610,Steven Kwan,CLE,147,563,638,168,130,25,7,6,89,52,62,2,60,7,4,2,9,19,5,0.298
24617,Jarren Duran,BOS,58,204,223,45,25,14,3,3,23,17,14,0,63,4,1,0,1,7,1,0.221
24618,Ryan Jeffers,MIN,67,212,236,44,26,10,1,7,25,27,23,0,62,0,0,1,6,0,0,0.208
24655,Owen Miller,CLE,130,424,472,103,70,26,1,6,53,51,32,1,93,7,9,0,8,2,0,0.243
24679,Brendan Donovan,STL,126,391,468,110,83,21,1,5,64,45,60,1,70,14,2,1,8,2,3,0.281
24703,Jonah Bride,OAK,58,162,187,33,28,4,0,1,17,6,19,0,32,4,1,1,4,1,0,0.204
24782,David Villar,SFG,52,156,181,36,20,6,1,9,21,24,18,0,58,6,1,0,4,0,1,0.231
25055,Nate Eaton,KCR,44,106,122,28,20,4,3,1,16,12,10,0,30,2,3,1,2,11,1,0.264
25353,Michael Stefanic,LAA,25,61,69,12,10,2,0,0,5,0,5,0,12,2,0,1,1,0,0,0.197
25459,Peyton Burdick,MIA,32,92,102,19,11,4,0,4,8,11,8,0,35,2,0,0,1,1,0,0.207
25764,Bobby Witt Jr.,KCR,150,591,632,150,93,31,6,20,82,80,30,2,135,6,5,0,12,30,7,0.254
25768,CJ Abrams,- - -,90,284,302,70,54,12,2,2,33,21,5,0,50,9,2,2,5,7,4,0.246
25816,Shea Langeliers,OAK,40,142,153,31,14,10,1,6,14,22,9,0,53,0,2,0,4,0,0,0.218
25845,Michael Toglia,COL,31,111,120,24,12,8,2,2,10,12,9,0,44,0,0,0,2,1,1,0.216
25867,Ryan Kreidler,DET,26,73,84,13,11,1,0,1,8,6,6,0,22,1,2,2,0,0,1,0.178
25878,Corbin Carroll,ARI,32,104,115,27,12,9,2,4,13,14,8,0,31,3,0,0,1,2,1,0.26
25931,Michael Harris II,ATL,114,414,441,123,74,27,3,19,75,64,21,0,107,5,0,1,7,20,2,0.297
25961,Kerry Carpenter,DET,31,103,113,26,15,4,1,6,16,10,6,0,32,3,1,0,0,0,0,0.252
25976,Riley Greene,DET,93,376,418,95,68,18,4,5,46,42,36,0,120,3,3,0,8,1,4,0.253
26031,Vaughn Grissom,ATL,41,141,156,41,30,6,0,5,24,18,11,1,34,3,1,0,0,5,2,0.291
26151,Kyle Stowers,BAL,34,91,98,23,15,4,1,3,11,11,5,0,29,2,0,0,3,0,0,0.253
26197,Andrew Vaughn,CHW,134,510,555,138,92,28,1,17,60,76,31,0,96,9,5,0,13,0,0,0.271
26288,Adley Rutschman,BAL,113,398,470,101,52,35,1,13,70,42,65,0,86,4,3,0,4,4,0,0.254
26289,Gunnar Henderson,BAL,34,116,132,30,18,7,1,4,12,18,16,1,34,0,0,0,1,1,1,0.259
26294,Bryson Stott,PHI,127,427,466,100,69,19,2,10,58,49,36,0,89,1,1,1,3,12,4,0.234
26299,Josh Jung,TEX,26,98,102,20,10,4,1,5,9,14,4,0,39,0,0,0,2,2,0,0.204
